Table 1
Number,Pokemon,Type I,Type II,BST,
154,Meganium,Grass,None,525,
155,Cyndaquil,Fire,None,309,
156,Quilava,Fire,None,405,
157,Typhlosion,Fire,None,534,
158,Totodile,Water,None,314,
159,Croconaw,Water,None,405,
160,Feraligatr,Water,None,530,
161,Sentret,Normal,None,215,
162,Furret,Normal,None,415,
163,Hoothoot,Normal,Flying,262,
164,Noctowl,Normal,Flying,442,
165,Ledyba,Bug,Flying,265,
166,Ledian,Bug,Flying,390,
167,Spinarak,Bug,Poison,250,
168,Ariados,Bug,Poison,390,
169,Crobat,Poison,Flying,535,
170,Chinchou,Water,Electric,330,
171,Lanturn,Water,Electric,460,
172,Pichu,Electric,None,205,
173,Cleffa,Fairy,None,218,
174,Igglybuff,Normal,Fairy,210,
175,Togepi,Fairy,None,245,
176,Togetic,Fairy,Flying,405,
177,Natu,Psychic,Flying,320,
178,Xatu,Psychic,Flying,470,
179,Mareep,Electric,None,280,
180,Flaaffy,Electric,None,365,
181,Ampharos,Electric,None,500,
182,Bellossom,Grass,None,480,
183,Marill,Water,Fairy,250,
184,Azumarill,Water,Fairy,410,
185,Sudowoodo,Rock,None,410,
186,Politoed,Water,None,500,
187,Hoppip,Grass,Flying,250,
188,Skiploom,Grass,Flying,340,
189,Jumpluff,Grass,Flying,450,
190,Aipom,Normal,None,360,
191,Sunkern,Grass,None,180,
192,Sunflora,Grass,None,425,
193,Yanma,Bug,Flying,390,
194,Wooper,Water,Ground,210,
195,Quagsire,Water,Ground,430,
196,Espeon,Psychic,None,525,
197,Umbreon,Dark,None,525,
198,Murkrow,Dark,Flying,405,
199,Slowking,Water,Psychic,490,
200,Misdreavus,Ghost,None,435,
201,Unown,Psychic,None,336,
202,Wobbuffet,Psychic,None,405,
203,Girafarig,Normal,Psychic,455,
204,Pineco,Bug,None,290,
205,Forretress,Bug,Steel,465,
206,Dunsparce,Normal,None,415,
207,Gligar,Ground,Flying,430,
208,Steelix,Steel,Ground,510,
209,Snubbull,Fairy,None,300,
210,Granbull,Fairy,None,450,
211,Qwilfish,Water,Poison,430,
212,Scizor,Bug,Steel,500,
213,Shuckle,Bug,Rock,505,
214,Heracross,Bug,Fighting,500,
215,Sneasel,Dark,Ice,430,
216,Teddiursa,Normal,None,330,
217,Ursaring,Normal,None,500,
218,Slugma,Fire,None,250,
219,Magcargo,Fire,Rock,410,
220,Swinub,Ice,Ground,250,
221,Piloswine,Ice,Ground,450,
222,Corsola,Water,Rock,380,
223,Remoraid,Water,None,300,
224,Octillery,Water,None,480,
225,Delibird,Ice,Flying,330,
226,Mantine,Water,Flying,465,
227,Skarmory,Steel,Flying,465,
228,Houndour,Dark,Fire,330,
229,Houndoom,Dark,Fire,500,
230,Kingdra,Water,Dragon,540,
231,Phanpy,Ground,None,330,
232,Donphan,Ground,None,500,
233,Porygon2,Normal,None,515,
234,Stantler,Normal,None,465,
235,Smeargle,Normal,None,250,
236,Tyrogue,Fighting,None,210,
237,Hitmontop,Fighting,None,455,
238,Smoochum,Ice,Psychic,305,
239,Elekid,Electric,None,360,
240,Magby,Fire,None,365,
241,Miltank,Normal,None,490,
242,Blissey,Normal,None,540,
243,Raikou,Electric,None,580,
244,Entei,Fire,None,580,
245,Suicune,Water,None,580,
246,Larvitar,Rock,Ground,300,
247,Pupitar,Rock,Ground,410,
248,Tyranitar,Rock,Dark,600,
249,Lugia,Psychic,Flying,680,
250,Ho-oh,Fire,Flying,680,
251,Celebi,Psychic,Grass,600,
252,Treecko,Grass,None,310,
253,Grovyle,Grass,None,405,
254,Sceptile,Grass,None,530,
255,Torchic,Fire,None,310,
256,Combusken,Fire,Fighting,405,
257,Blaziken,Fire,Fighting,530,
258,Mudkip,Water,None,310,
259,Marshtomp,Water,Ground,405,
260,Swampert,Water,Ground,535,
261,Poochyena,Dark,None,220,
262,Mightyena,Dark,None,420,
263,Zigzagoon,Normal,None,240,
264,Linoone,Normal,None,420,
265,Wurmple,Bug,None,195,
266,Silcoon,Bug,None,205,
267,Beautifly,Bug,Flying,385,
268,Cascoon,Bug,None,205,
269,Dustox,Bug,Poison,385,
270,Lotad,Water,Grass,220,
271,Lombre,Water,Grass,340,
272,Ludicolo,Water,Grass,480,
273,Seedot,Grass,None,220,
274,Nuzleaf,Grass,Dark,340,
275,Shiftry,Grass,Dark,480,
276,Taillow,Normal,Flying,270,
277,Swellow,Normal,Flying,430,
278,Wingull,Water,Flying,270,
279,Pelipper,Water,Flying,430,
280,Ralts,Psychic,Fairy,198,
281,Kirlia,Psychic,Fairy,278,
282,Gardevoir,Psychic,Fairy,518,
283,Surskit,Bug,Water,269,
284,Masquerain,Bug,Flying,414,
285,Shroomish,Grass,None,295,
286,Breloom,Grass,Fighting,460,
287,Slakoth,Normal,None,280,
288,Vigoroth,Normal,None,440,
289,Slaking,Normal,None,670,
290,Nincada,Bug,Ground,266,
291,Ninjask,Bug,Flying,456,
292,Shedinja,Bug,Ghost,236,
293,Whismur,Normal,None,240,
294,Loudred,Normal,None,360,
295,Exploud,Normal,None,480,
296,Makuhita,Fighting,None,237,
297,Hariyama,Fighting,None,474,
298,Azurill,Normal,Fairy,190,
299,Nosepass,Rock,None,375,
300,Skitty,Normal,None,260,
301,Delcatty,Normal,None,380,
302,Sableye,Dark,Ghost,380,
303,Mawile,Steel,Fairy,380,
304,Aron,Steel,Rock,330,
305,Lairon,Steel,Rock,430,
306,Aggron,Steel,Rock,530,
307,Meditite,Fighting,Psychic,280,
308,Medicham,Fighting,Psychic,410,
309,Electrike,Electric,None,295,
310,Manectric,Electric,None,475,
311,Plusle,Electric,None,405,
312,Minun,Electric,None,405,
313,Volbeat,Bug,None,400,
314,Illumise,Bug,None,400,
315,Roselia,Grass,Poison,400,
316,Gulpin,Poison,None,302,
317,Swalot,Poison,None,467,
318,Carvanha,Water,Dark,305,
319,Sharpedo,Water,Dark,460,
320,Wailmer,Water,None,400,
321,Wailord,Water,None,500,
322,Numel,Fire,Ground,305,
323,Camerupt,Fire,Ground,460,
324,Torkoal,Fire,None,470,
325,Spoink,Psychic,None,330,
326,Grumpig,Psychic,None,470,
327,Spinda,Normal,None,360,
328,Trapinch,Ground,None,290,
329,Vibrava,Ground,Dragon,340,
330,Flygon,Ground,Dragon,520,
331,Cacnea,Grass,None,335,
332,Cacturne,Grass,Dark,475,
333,Swablu,Normal,Flying,310,
334,Altaria,Dragon,Flying,490,
335,Zangoose,Normal,None,458,
336,Seviper,Poison,None,458,
337,Lunatone,Rock,Psychic,440,
338,Solrock,Rock,Psychic,440,
339,Barboach,Water,Ground,288,
340,Whiscash,Water,Ground,468,
341,Corphish,Water,None,308,
342,Crawdaunt,Water,Dark,468,
343,Baltoy,Ground,Psychic,300,
344,Claydol,Ground,Psychic,500,
345,Lileep,Rock,Grass,355,
346,Cradily,Rock,Grass,495,
347,Anorith,Rock,Bug,355,
348,Armaldo,Rock,Bug,495,
349,Feebas,Water,None,200,
350,Milotic,Water,None,540,
351,Castform,Normal,None,420,
352,Kecleon,Normal,None,440,
353,Shuppet,Ghost,None,295,
354,Banette,Ghost,None,455,
355,Duskull,Ghost,None,295,
356,Dusclops,Ghost,None,455,
357,Tropius,Grass,Flying,460,
358,Chimecho,Psychic,None,425,
359,Absol,Dark,None,465,
360,Wynaut,Psychic,None,260,
361,Snorunt,Ice,None,300,
362,Glalie,Ice,None,480,
363,Spheal,Ice,Water,290,
364,Sealeo,Ice,Water,410,
365,Walrein,Ice,Water,530,
366,Clamperl,Water,None,345,
367,Huntail,Water,None,485,
368,Gorebyss,Water,None,485,
369,Relicanth,Water,Rock,485,
370,Luvdisc,Water,None,330,
371,Bagon,Dragon,None,300,
372,Shelgon,Dragon,None,420,
373,Salamence,Dragon,Flying,600,
374,Beldum,Steel,Psychic,300,
375,Metang,Steel,Psychic,420,
376,Metagross,Steel,Psychic,600,
377,Regirock,Rock,None,580,
378,Regice,Ice,None,580,
379,Registeel,Steel,None,580,
380,Latias,Dragon,Psychic,600,
381,Latios,Dragon,Psychic,600,
382,Kyogre,Water,None,670,
383,Groudon,Ground,None,670,
384,Rayquaza,Dragon,Flying,680,
385,Jirachi,Steel,Psychic,600,
386,Deoxys (N),Psychic,None,600,
387,Turtwig,Grass,None,318,
388,Grotle,Grass,None,405,
389,Torterra,Grass,Ground,525,
390,Chimchar,Fire,None,309,
391,Monferno,Fire,Fighting,405,
392,Infernape,Fire,Fighting,534,
393,Piplup,Water,None,314,
394,Prinplup,Water,None,405,
395,Empoleon,Water,Steel,530,
396,Starly,Normal,Flying,245,
397,Staravia,Normal,Flying,340,
398,Staraptor,Normal,Flying,475,
399,Bidoof,Normal,None,250,
400,Bibarel,Normal,Water,410,
401,Kricketot,Bug,None,194,
402,Kricketune,Bug,None,384,
403,Shinx,Electric,None,263,
404,Luxio,Electric,None,363,
405,Luxray,Electric,None,523,
406,Budew,Grass,Poison,280,
407,Roserade,Grass,Poison,505,
408,Cranidos,Rock,None,350,
409,Rampardos,Rock,None,495,
410,Shieldon,Rock,Steel,350,
411,Bastiodon,Rock,Steel,495,
412,Burmy,Bug,None,224,
413,Wormadam (P),Bug,Grass,424,
414,Mothim,Bug,Flying,424,
415,Combee,Bug,Flying,244,
416,Vespiquen,Bug,Flying,474,
417,Pachirisu,Electric,None,405,
418,Buizel,Water,None,330,
419,Floatzel,Water,None,495,
420,Cherubi,Grass,None,275,
421,Cherrim,Grass,None,450,
422,Shellos,Water,None,325,
423,Gastrodon,Water,Ground,475,
424,Ambipom,Normal,None,482,
425,Drifloon,Ghost,Flying,348,
426,Drifblim,Ghost,Flying,498,
427,Buneary,Normal,None,350,
428,Lopunny,Normal,None,480,
429,Mismagius,Ghost,None,495,
430,Honchkrow,Dark,Flying,505,
431,Glameow,Normal,None,310,
432,Purugly,Normal,None,452,
433,Chingling,Psychic,None,285,
434,Stunky,Poison,Dark,329,
435,Skuntank,Poison,Dark,479,
436,Bronzor,Steel,Psychic,300,
437,Bronzong,Steel,Psychic,500,
438,Bonsly,Rock,None,290,
439,Mime Jr.,Psychic,Fairy,310,
440,Happiny,Normal,None,220,
441,Chatot,Normal,Flying,411,
442,Spiritomb,Ghost,Dark,485,
443,Gible,Dragon,Ground,300,
444,Gabite,Dragon,Ground,410,
445,Garchomp,Dragon,Ground,600,
446,Munchlax,Normal,None,390,
447,Riolu,Fighting,None,285,
448,Lucario,Fighting,Steel,525,
449,Hippopotas,Ground,None,330,
450,Hippowdon,Ground,None,525,
451,Skorupi,Poison,Bug,330,
452,Drapion,Poison,Dark,500,
453,Croagunk,Poison,Fighting,300,
454,Toxicroak,Poison,Fighting,490,
455,Carnivine,Grass,None,454,
456,Finneon,Water,None,330,
457,Lumineon,Water,None,460,
458,Mantyke,Water,Flying,345,
459,Snover,Ice,Grass,334,
460,Abomasnow,Ice,Grass,494,
461,Weavile,Dark,Ice,510,
462,Magnezone,Electric,Steel,535,
463,Lickilicky,Normal,None,515,
464,Rhyperior,Ground,Rock,535,
465,Tangrowth,Grass,None,535,
466,Electivire,Electric,None,540,
467,Magmortar,Fire,None,540,
468,Togekiss,Fairy,Flying,545,
469,Yanmega,Bug,Flying,515,
470,Leafeon,Grass,None,525,
471,Glaceon,Ice,None,525,
472,Gliscor,Ground,Flying,510,
473,Mamoswine,Ice,Ground,530,
474,Porygon-Z,Normal,None,535,
475,Gallade,Psychic,Fighting,518,
476,Probopass,Rock,Steel,525,
477,Dusknoir,Ghost,None,525,
478,Froslass,Ice,Ghost,480,
479,Rotom,Electric,Ghost,440,
480,Uxie,Psychic,None,580,
481,Mesprit,Psychic,None,580,
482,Azelf,Psychic,None,580,
483,Dialga,Steel,Dragon,680,
484,Palkia,Water,Dragon,680,
485,Heatran,Fire,Steel,600,
486,Regigigas,Normal,None,670,
487,Giratina,Ghost,Dragon,680,
488,Cresselia,Psychic,None,600,
489,Phione,Water,None,480,
490,Manaphy,Water,None,600,
491,Darkrai,Dark,None,600,
492,Shaymin,Grass,None,600,
493,Arceus,Normal,None,720,
494,Victini,Psychic,Fire,600,
495,Snivy,Grass,None,308,
496,Servine,Grass,None,413,
497,Serperior,Grass,None,528,
498,Tepig,Fire,None,308,
499,Pignite,Fire,Fighting,418,
500,Emboar,Fire,Fighting,528,
501,Oshawott,Water,None,308,
502,Dewott,Water,None,413,
503,Samurott,Water,None,528,
504,Patrat,Normal,None,255,
505,Watchog,Normal,None,420,
506,Lillipup,Normal,None,275,
507,Herdier,Normal,None,370,
508,Stoutland,Normal,None,490,
509,Purrloin,Dark,None,281,
510,Liepard,Dark,None,446,
511,Pansage,Grass,None,316,
512,Simisage,Grass,None,498,
513,Pansear,Fire,None,316,
514,Simisear,Fire,None,498,
515,Panpour,Water,None,316,
516,Simipour,Water,None,498,
517,Munna,Psychic,None,292,
518,Musharna,Psychic,None,487,
519,Pidove,Normal,Flying,264,
520,Tranquill,Normal,Flying,358,
521,Unfezant,Normal,Flying,478,
522,Blitzle,Electric,None,295,
523,Zebstrika,Electric,None,497,
524,Roggenrola,Rock,None,280,
525,Boldore,Rock,None,390,
526,Gigalith,Rock,None,505,
527,Woobat,Psychic,Flying,313,
528,Swoobat,Psychic,Flying,425,
529,Drilbur,Ground,None,328,
530,Excadrill,Ground,Steel,508,
531,Audino,Normal,None,445,
532,Timburr,Fighting,None,305,
533,Gurdurr,Fighting,None,405,
534,Conkeldurr,Fighting,None,505,
535,Tympole,Water,None,294,
536,Palpitoad,Water,Ground,384,
537,Seismitoad,Water,Ground,499,
538,Throh,Fighting,None,465,
539,Sawk,Fighting,None,465,
540,Sewaddle,Bug,Grass,310,
541,Swadloon,Bug,Grass,380,
542,Leavanny,Bug,Grass,490,
543,Venipede,Bug,Poison,260,
544,Whirlipede,Bug,Poison,360,
545,Scolipede,Bug,Poison,475,
546,Cottonee,Grass,Fairy,280,
547,Whimsicott,Grass,Fairy,480,
548,Petilil,Grass,None,280,
549,Lilligant,Grass,None,480,
550,Basculin,Water,None,460,
551,Sandile,Ground,Dark,292,
552,Krokorok,Ground,Dark,351,
553,Krookodile,Ground,Dark,509,
554,Darumaka,Fire,None,315,
555,Darmanitan,Fire,None,480,
556,Maractus,Grass,None,461,
557,Dwebble,Bug,Rock,325,
558,Crustle,Bug,Rock,475,
559,Scraggy,Dark,Fighting,348,
560,Scrafty,Dark,Fighting,488,
561,Sigilyph,Psychic,Flying,490,
562,Yamask,Ghost,None,303,
563,Cofagrigus,Ghost,None,483,
564,Tirtouga,Water,Rock,355,
565,Carracosta,Water,Rock,495,
566,Archen,Rock,Flying,401,
567,Archeops,Rock,Flying,567,
568,Trubbish,Poison,None,329,
569,Garbodor,Poison,None,484,
570,Zorua,Dark,None,330,
571,Zoroark,Dark,None,510,
572,Minccino,Normal,None,300,
573,Ciccino,Normal,None,470,
574,Gothita,Psychic,None,290,
575,Gothorita,Psychic,None,390,
576,Gothitelle,Psychic,None,490,
577,Solosis,Psychic,None,290,
578,Duosion,Psychic,None,370,
579,Reuniclus,Psychic,None,490,
580,Ducklett,Water,Flying,305,
581,Swanna,Water,Flying,473,
582,Vanillite,Ice,None,305,
583,Vanillish,Ice,None,395,
584,Vanilluxe,Ice,None,535,
585,Deerling,Normal,Grass,335,
586,Sawsbuck,Normal,Grass,475,
587,Emolga,Electric,Flying,428,
588,Karrablast,Bug,None,315,
589,Escavalier,Bug,Steel,495,
590,Foongus,Grass,Poison,294,
591,Amoonguss,Grass,Poison,464,
592,Frillish,Water,Ghost,335,
593,Jellicent,Water,Ghost,480,
594,Alomomola,Water,None,470,
595,Joltik,Bug,Electric,319,
596,Galvantula,Bug,Electric,472,
597,Ferroseed,Grass,Steel,305,
598,Ferrothorn,Grass,Steel,489,
599,Klink,Steel,None,300,
600,Klang,Steel,None,440,
601,Klinklang,Steel,None,520,
602,Tynamo,Electric,None,275,
603,Eelektrik,Electric,None,405,
604,Eelektross,Electric,None,515,
605,Elgyem,Psychic,None,335,
606,Beheeyem,Psychic,None,485,
607,Litwick,Ghost,Fire,275,
608,Lampent,Ghost,Fire,370,
609,Chandelure,Ghost,Fire,520,
610,Axew,Dragon,None,320,
611,Fraxure,Dragon,None,410,
612,Haxorus,Dragon,None,540,
613,Cubchoo,Ice,None,305,
614,Beartic,Ice,None,485,
615,Cryogonal,Ice,None,485,
616,Shelmet,Bug,None,305,
617,Accelgor,Bug,None,495,
618,Stunfisk,Ground,Electric,471,
619,Mienfoo,Fighting,None,350,
620,Mienshao,Fighting,None,510,
621,Druddigon,Dragon,None,485,
622,Golett,Ground,Ghost,303,
623,Golurk,Ground,Ghost,483,
624,Pawniard,Dark,Steel,340,
625,Bisharp,Dark,Steel,490,
626,Bouffalant,Normal,None,490,
627,Rufflet,Normal,Flying,350,
628,Braviary,Normal,Flying,510,
629,Vullaby,Dark,Flying,370,
630,Mandibuzz,Dark,Flying,510,
631,Heatmor,Fire,None,484,
632,Durant,Bug,Steel,484,
633,Deino,Dark,Dragon,300,
634,Zweilous,Dark,Dragon,420,
635,Hydreigon,Dark,Dragon,600,
636,Larvesta,Bug,Fire,360,
637,Volcarona,Bug,Fire,550,
638,Cobalion,Steel,Fighting,580,
639,Terrakion,Rock,Fighting,580,
640,Virizion,Grass,Fighting,580,
641,Tornadus,Flying,None,580,
642,Thundurus,Electric,Flying,580,
643,Reshiram,Dragon,Fire,680,
644,Zekrom,Dragon,Electric,680,
645,Landorus,Ground,Flying,600,
646,Kyurem,Dragon,Ice,660,
647,Keldeo,Water,Fighting,580,
648,Meloetta (A),Normal,Psychic,600,
649,Genesect,Bug,Steel,600,
650,Chespin,Grass,None,313,
651,Quilladin,Grass,None,405,
652,Chesnaught,Grass,Fighting,530,
653,Fennekin,Fire,None,307,
654,Braixen,Fire,None,409,
655,Delphox,Fire,Psychic,534,
656,Froakie,Water,None,314,
657,Frogadier,Water,None,405,
658,Greninja,Water,Dark,530,
659,Bunnelby,Normal,None,237,
660,Diggersby,Normal,Ground,423,
661,Fletchling,Normal,Flying,278,
662,Fletchinder,Fire,Flying,382,
663,Talonflame,Fire,Flying,499,
664,Scatterbug,Bug,None,200,
665,Spewpa,Bug,None,213,
666,Vivillon,Bug,Flying,411,
667,Litleo,Fire,Normal,369,
668,Pyroar,Fire,Normal,507,
669,Flabébé,Fairy,None,303,
670,Floette,Fairy,None,371,
671,Florges,Fairy,None,552,
672,Skiddo,Grass,None,350,
673,Gogoat,Grass,None,531,
674,Pancham,Fighting,None,348,
675,Pangoro,Fighting,Dark,495,
676,Furfrou,Normal,None,472,
677,Espurr,Psychic,None,355,
678,Meowstic,Psychic,None,466,
679,Honedge,Steel,Ghost,325,
680,Doublade,Steel,Ghost,448,
681,Aegislash,Steel,Ghost,500,
682,Spritzee,Fairy,None,341,
683,Aromatisse,Fairy,None,462,
684,Swirlix,Fairy,None,341,
685,Slurpuff,Fairy,None,480,
686,Inkay,Dark,Psychic,288,
687,Malamar,Dark,Psychic,482,
688,Binacle,Rock,Water,306,
689,Barbaracle,Rock,Water,500,
690,Skrelp,Poison,Water,320,
691,Dragalge,Poison,Dragon,494,
692,Clauncher,Water,None,330,
693,Clawitzer,Water,None,500,
694,Helioptile,Electric,Normal,289,
695,Heliolisk,Electric,Normal,481,
696,Tyrunt,Rock,Dragon,362,
697,Tyrantrum,Rock,Dragon,521,
698,Amaura,Rock,Ice,362,
699,Aurorus,Rock,Ice,521,
700,Sylveon,Fairy,None,525,
701,Hawlucha,Fighting,None,500,
702,Dedenne,Electric,Fairy,431,
703,Carbink,Rock,Fairy,500,
704,Goomy,Dragon,None,300,
705,Sliggoo,Dragon,None,452,
706,Goodra,Dragon,None,600,
707,Klefki,Steel,Fairy,470,
708,Phantump,Ghost,Grass,309,
709,Trevenant,Ghost,Grass,474,
710,Pumpkaboo,Ghost,Grass,335,
711,Gourgeist,Ghost,Grass,494,
712,Bergmite,Ice,None,304,
713,Avalugg,Ice,None,514,
714,Noibat,Flying,Dragon,245,
715,Noivern,Flying,Dragon,535,
716,Xerneas,Fairy,None,680,
717,Yveltal,Dark,Flying,680,
718,Zygarde,Dragon,Ground,600,
719,Diancie,Rock,Fairy,600,
720,Hoopa,Psychic,Ghost,600,
721,Volcanion,Fire,Water,600,
722,Rowlet,Grass,Flying,320,
723,Dartrix,Grass,Flying,420,
724,Decidueye,Grass,Ghost,530,
725,Litten,Fire,None,320,
726,Torracat,Fire,None,420,
727,Incineroar,Fire,Dark,530,
728,Popplio,Water,None,320,
729,Brionne,Water,None,420,
730,Primarina,Water,Fairy,530,
731,Pikipek,Normal,Flying,265,
732,Trumbeak,Normal,Flying,355,
733,Toucannon,Normal,Flying,485,
734,Yungoos,Normal,None,253,
735,Gumshoos,Normal,None,418,
736,Grubbin,Bug,None,300,
737,Charjabug,Bug,Electric,400,
738,Vikavolt,Bug,Electric,500,
739,Crabrawler,Fighting,None,338,
740,Crabominable,Fighting,Ice,478,
741,Oricorio,Fire,Flying,476,
742,Cutiefly,Bug,Fairy,304,
743,Ribombee,Bug,Fairy,464,
744,Rockruff,Rock,None,280,
745,Lycanroc,Rock,None,487,
746,Wishiwashi,Water,None,175,
747,Mareanie,Poison,Water,305,
748,Toxapex,Poison,Water,495,
749,Mudbray,Ground,None,385,
750,Mudsdale,Ground,None,500,
751,Dewpider,Water,Bug,269,
752,Araquanid,Water,Bug,454,
753,Fomantis,Grass,None,250,
754,Lurantis,Grass,None,480,
755,Morelull,Grass,Fairy,285,
756,Shiinotic,Grass,Fairy,405,
757,Salandit,Poison,Fire,320,
758,Salazzle,Poison,Fire,480,
759,Stufful,Normal,Fighting,340,
760,Bewear,Normal,Fighting,500,
761,Bounsweet,Grass,None,210,
762,Steenee,Grass,None,290,
763,Tsareena,Grass,None,510,
764,Comfey,Fairy,None,485,
765,Oranguru,Normal,None,490,
766,Passimian,Fighting,None,490,
767,Wimpod,Bug,Water,230,
768,Golisopod,Bug,Water,530,
769,Sandygast,Ghost,Ground,320,
770,Pallosand,Ghost,Ground,480,
771,Pyukumuku,Water,None,410,
772,Type:Null,Normal,None,534,
773,Silvally,Normal,None,570,
774,Minior,Rock,Flying,440,
775,Komala,Normal,None,480,
776,Turtonator,Fire,Dragon,485,
777,Togedemaru,Electric,Steel,435,
778,Mimikyu,Ghost,Fairy,476,
779,Bruxish,Water,Psychic,475,
780,Drampa,Normal,Dragon,485,
